title,date,link,keyword1,keyword2,keyword3,type,summary,details
"A 2.71 fJ/conversion-step 10-bit 50 MSPS split-capacitor array SAR ADC for FOG systems","November 2, 2023","https://www.tandfonline.com/doi/abs/10.1080/00207217.2022.2118861","ADC","SAR","Fibre Optic Gyroscope","Journal","This investigation demonstrates a 10-bit SAR-ADC with low power dissipation per conversion step at 50 MS/s sampling rate.","The proposed ADC is featured with the split-capacitance array by using unity-gain amplifiers and designed for fibre optic gyroscope (FOG) systems. The buffers based on the unity-gain amplifiers replace the bridge capacitors of the split-capacitance array in conventional SAR ADCs to resist process variation and enhance linearity of the capacitor-array. Aside from those, improvements in time response, that is, settling time, and capacitor size have also been proved. The design was implemented using a typical 40-nm CMOS process. The INL (integral non-linearity) and the DNL (differential non-linearity) were found to be 0.56 LSB and 0.51 LSB, respectively. The SNDR and SFDR are 51.23 dB and 61.46 dB, respectively, at an input of 12.5 MHz showing ENOB to be 9.79 bits at a sampling rate of 50 MS/s."
"Spatial Multiplexing and Hybrid Beamforming Design For 5G Wireless System","August 01, 2023","https://d1wqtxts1xzle7.cloudfront.net/109087703/IJCDS140135-libre.pdf?1702774420=&response-content-disposition=inline%3B+filename%3DSpatial_Multiplexing_and_Hybrid_Beamform.pdf&Expires=1740018401&Signature=YXS9ZQiXfaMhP12XaU22p84CSydm~SPstGeQKiyyn~TvOQ6r4c3uuzZlu7AtyFnOWZKezGGUohG0FruRj~jyl5tPvuWPpKAL0TDOV7i50VfYRRoaM4mYXXFUI8eqjv-xYVXoSlFyhc8VNv5eV5vv2mKkyPiClTp45csQjkC4qPUo16PlxiZqQddotYLCUji7ajTm9WDbxmEGmLFiqtEhCFRovV6Slur0HAxhr3euRdNc8pH6AIiGnYhhgx2xwEE7nFqCE9boyb-biAfOngCxM0PThZm8lWcT6IW1M8LuCBYFX-9HqOp1FfuhxHwol2BPT2LUaScs004jqUX4yXssIw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA","5G","MIMO","Spatial Multiplexing","Journal","The current 5G network needs to achieve a considerably larger link capacity and ultra-low latency to enhance mobile broadband and support emerging mobile applications and massive IoT.","Thus, implementing MIMO-OFDM Spatial Multiplexing and Hybrid Beamforming techniques helped increase the information capacity using multiple transmit and receive antennas. At the same time, these can improve the Signal to Noise Ratio (SNR), reducing the interference that leads to lower latency. The whole system comprises four models, namely the antenna array, channel model, spatial multiplexing, and hybrid beamforming. They were designed and simulated using the MATLAB software, and each output produced in the previous model is being utilized in simulating the next one following a parallel design process. An antenna array was first modeled and was used for the subsequent channel model process. The outputs from these two are then used to simulate spatial multiplexing and hybrid beamforming. The results of each model were discussed and analyzed concluding that both transmission techniques are efficient tools for achieving the goals of the emerging 5G mobile technology. It provides a solution to the current difficulties being encountered by the 4G technology."
"Single-chip DC–DC buck converter design based on PWM with high-efficiency in light load","July 03,2023","https://www.tandfonline.com/doi/abs/10.1080/21681724.2022.2068661","DC-DC Converter","Buck Converter","PWM","Journal","This research illustrates a DC–DC buck converter with a pulse width modulation (PWM) feedback control loop and capable of power supply voltage range from VDD to 2.5× VDD, which is equivalent to 5–14 V.","It is a single chip with area of 1.379 × 0.813 mm2 using 0.5 µm HV CMOS process, where high voltage (HV) MOSFETs, a Dead-time detector, a PWM feedback loop, a control circuit and HV driving transistors are included. The main feature of our design is its capability of shutting off an optimal number of power MOSFETs during light load operation, resulting in a very high conversion efficiency. Most important of all, the optimal solution is analytically proved. The light load efficiency is raised from 31.71% by traditional methods to 67.94% by the proposed design."
"A 2xVDD digital output buffer with gate driving stability and non-overlapping signaling control for slew-rate auto-adjustment using 16-nm FinFET CMOS process","May 1, 2023","https://www.sciencedirect.com/science/article/abs/pii/S0167926023000299","","","","Journal","This paper presents a 2 × VDD mixed-voltage digital output buffer where its slew rate (SR) is automatically adjusted based on PVT (process, voltage, and temperature) detection.","The developed buffer is the first to be fabricated using TSMC 16-nm CMOS Logic FinFET Compact (Shrink) LL ELK Cu 1P13 M process. Since slew rate is one of the major required parameters in many interfacing protocols, it is really hard to meet if the mixed-voltage output buffer is needed in FinFET processes. The major reason is the low VDD in these advanced processes. However, our buffer's SR is improved by implementing low threshold voltage (Vth) type of device for always-on driving transistors in the Output Stage, thereby increasing the output current. Moreover, since FinFET devices were used in the buffer, the stability of the gate drives of the said driving transistors must be ensured so that noise interference will be avoided. Lastly, the buffer's Timing Shifters used non-overlapping signaling control directly implemented at the transistor level to eliminate the errors caused by delay variations. Based on silicon measurement results, at a load capacitance of 20 pF, the said circuit can be operated at a maximum data rate of 250 MHz for both supply voltages of 0.8 and 1.6 V (namely external VDD or VDDIO), respectively. When the SR auto-adjustment is activated, the SR improvement is at least 49.2% and 37.5% for 0.8 and 1.6 V, respectively."
"A 1.0 fJ energy/bit single‐ended 1 kb 6T SRAM implemented using 40 nm CMOS process","January 10, 2023","https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/cds2.12141","","","","Journal","An ultra-low-energy SRAM composed of single-ended cells is demonstrated on silicon in this investigation.","More specifically, the supply voltages of cells are gated by wordline (WL) enable, and the voltage mode select (VMS) signals select one of the corresponding supply voltages. A lower voltage is selected to maintain stored bit state when cells are not accessed, lowering the standby power. And when selecting a cell (i.e. WL is enabled) to perform the read or write (R/W) operations, the normal supply voltage is used. A 1-kb SRAM prototype based on the single-ended cells with built-in self-test (BIST) and power-delay production (PDP) reduction circuits was realised on silicon using 40-nm CMOS technology. Theoretical derivations and simulations of all-PVT-corner variations are also disclosed to justify low energy performance. Physical measurements of six prototypes on silicon shows that the energy per bit is 1.0 fJ at the 10 MHz system clock."
"A 16-nm FinFET 28.8-mW 800-MHz 8-Bit All-N-Transistor Logic Carry Look-Ahead Adder","November 03, 2022","https://link.springer.com/article/10.1007/s00034-022-02212-2","","","","Journal","Low-power and high-speed calculation is very important nowadays for energy-efficient demand of electronic devices.","With the usage of ANT (All-N-transistor) logic, the speed constraint caused by PMOS transistors can be overcome through an auxiliary current path across NMOS transistors. This study presents a 800-MHz 28.8-mW 8-bit carry look-ahead adder (CLA) using ANT logic implemented on chip. FinFET technology is utilized to improve carrier mobility and increase device speed. R-C parasitic capacitance in FinFET devices is considered in the analysis of the delay time for the 8-bit CLA to improve PDP (power-delay product). The proposed design is implemented in 16-nm FinFET process with core area of 206.403 × 152.506μm2. It has the lowest normalized PDP at 60 pF load by far."
"BatStateU Integrated Response Drone (BIRD): A Hybrid Unmanned Vehicle for Disaster Response","August 06, 2022","https://pdfs.semanticscholar.org/11bc/adab44ddcf2460ab08a1dde54e19c463f10b.pdf","Hexacopter Drone","BIRD","Unmanned Surface Vehicle","Journal","Drones, or Unmanned Aerial Vehicles (UAVs), are already being utilized to help people in need worldwide.","In this report, the authors designed an unmanned vehicle composed of a flight mechanism & power supply, frame, and different payloads for different missions. These also include the design of different landing gears that are mechanically replaceable depending on the mission. This method allowed the drone to move in multi-mission or other environments (ground, air, and surface water) in normal conditions by changing its landing gears. A mapper payload that performs image stitching is also presented. The drone has an average flight time of 15 minutes, 4 kg. weight and can support payload weighing 5 kg., it was tested to operate at a maximum altitude of 100 m. It can communicate through a remote controller via radio frequency signals. It can land and take off in ground and surface water and maneuver in different environments; air, ground (flat area), and surface water, depending on the attached payload. The tests were conducted in remote and actual environments given the three different landing gears, and the results show that the drone is ready for a real mission. Future payloads such as a medical kit and detachable communications links are considered for the next phase."
"Design of a control architecture for an underwater remotely operated vehicle (ROV) used for search and rescue operations","July 29, 2022","https://dml.cz/dmlcz/150466","Control","Underwater ROV","Kinematics","Journal","A control system architecture design for an underwater ROV, primarily Class I - Pure Observation underwater ROV is presented in this paper.","A non-linear plant model was designed using SolidWorks 3D modeling tool and is imported to MATLAB as a 3D model. The non-linear modeled plant is linearized using the MATLAB linear analysis toolbox to have a linear approximate model of the system. The authors designed controllers for the linear plant model of underwater ROV. PID controllers are utilized as a controller of the modeled plant. The PID tuning tools by MATLAB are utilized to tune the controller of the plant model of underwater ROV. The researchers test the control design of underwater ROV using MATLAB Simulink by analyzing the response of the system and troubleshoot the control design to achieve the objective parameters for the control design of underwater ROV."
"An adaptive constant current and voltage mode P&O-based Maximum Power Point Tracking controller IC using 0.5-μm HV CMOS","October 20, 2021","https://www.sciencedirect.com/science/article/pii/S0026269221002809","","","","Journal","Photovoltaic (PV) energy harvesting has been widely used in the application of energy storage for battery charging.","The more solar energy effectively harvested by the harvesting circuit, the more efficient charging will take place. Many papers used different MPPT methods that enhance PV harvesting that require ADC and MCU which is costly and also requires a long period of tracking. A high-voltage energy harvesting circuit with adaptive constant current (ACC), constant voltage (CV), and maximum power tracking (MPPT) control for 20V/ 5 W solar panels is proposed to carry out the constant current charging (CC) and constant voltage (CV) charging modes of lithium-ion batteries when the solar panel’s maximum power point changes. Pulse width modulation (PWM) and pulse frequency modulation (PFM) are implemented under different light intensity conditions to improve the efficiency. The ACC mode controlled by perturb-and-observe (PBO) MPPT algorithm improved the efficiency during insufficient light source or low battery power. When the battery is fully charged, the over-charging damage is prevented to the lithium-ion battery when CV mode is activated. TSMC 0.5-μm UHV process is used to fabricate the energy harvesting circuit. For the photocurrent range of 0.1 A to 0.3 A, this design achieved a peak efficiency of 98%."
"A Quasi-Z-source DC-DC converter operating at 50 kHz Switching Frequency","June 19, 2025","https://ieeexplore.ieee.org/abstract/document/11135722","","","","Journal","Fuel cells, particularly in high-voltage applications, benefit from DC-DC converters that deliver higher output voltage and lower input current ripple to enhance efficiency, prolong lifespan, and improve reliability.","Fuel cells, particularly in high-voltage applications, benefit from DC-DC converters that deliver higher output voltage and lower input current ripple to enhance efficiency, prolong lifespan, and improve reliability. This investigation presents a quasi-Z source DC-DC voltage regulator with a new voltage doubling unit. The voltage regulator implements a new current-controlled source (CCS) voltage doubling structure. The voltage doubling structure combines CCS clamping capacitors and voltage doubling circuit units through magnetic coupling, making the voltage regulator to have stronger voltage regulation capability and reduced switching voltage stress of components in the circuit. This paper presents the operation of the quasi-Z source DC-DC converter with CCS voltage doubling structure, deriving the circuit boost ratio, and use MATLAB/Simulink to implement a simulation circuit, then obtains simulation results, and verifies the performance and functionality of the proposed converter."
